Bus No,Via
1,"vadavalli,gandhipark,poomarket,gandhipuram,ramakrishna hospital"
1A,"p.n.pudhur,gandhipuram,ramanathapuram,singanallur"
1B,"vadavalli,gandhipuram,ramanathapuram,singanallur"
1C,"p.n.pudhur,railway station,ramanathapuram,singanallur"
1D,"p.n.pudhur,gandhipuram,peelamedu,hopes,singanallur"
1E,"singanallur,railway station,gandhipuram,vadavalli"
1F,"p.n.pudhur,poomarket,gandhipuram,ramakrishna hospital"
2,"peelamedu,lakshmi mills,townhall,selvapuram"
2B,"ganapathy,gandhipuram,townhall,selvapuram"
2C,"ganapathy,gandhipuram,townhall,selvapuram,perur"
2J,"peelamedu,lakshmi mills,townhall,selvapuram,perur"
3,"gandhipuram,marakadai,ukkadam,kuniamuthur"
3A,"gandhipuram,marakadai,ukkadam,kuniamuthur"
3B,"gandhipuram,railway station,ukkadam,kuniamuthur"
3C,"gandhipuram,marakadai,ukkadam,kuniamuthur"
3D,"gandhipuram,marakadai,ukkadam,kuniamuthur"
3E,"marakadai,ukkadam,kuniamuthur"
3F,"gandhipuram,railway station,ukkadam,kuniamuthur"
3G,"gandhipuram,marakadai,ukkadam,kuniamuthur"
3H,"ganapathy,gandhipuram,marakadai,ukkadam,kuniamuthur"
3J,"gandhipuram,railway station,ukkadam,kuniamuthur,thirumalayampalayam"
3K,"marakadai,gandhipuram,ganapathy,police quarters"
3M,"ganapathy,gandhipuram,ukkadam,kuniamuthur"
3N,"ganapathy,gandhipuram,ukkadam,kovaipudur"
3S,"marakadai,ukkadam,kuniamuthur"
3V,"gandhipuram,marakadai,ukkadam,aathupalam,kuniamuthur"
4,"aathupalam,ukkadam,poomarket,tvs,new bus stand,kavundampalayam"
4A,"aathupalam,ukkadam,poomarket,tvs,new bus stand,kavundampalayam,thudiyalur"
4B,"poomarket,new bus stand,kavundampalayam,thudiyalur,p.n.palayam"
4C,"gandhipuram,railway station,ukkadam,aathupalam,pothanur"
4D,"poomarketthudiyalur,p.n.palayam,lmw-II,jothipuram"
4E,"singanallur,ondipudur,ramanathapuram,townhall,poomarket,new bus stand,thudiyalur"
4J,"kavundampalayam,new bus stand,poomarket,ukkadam,aathupalam,kuniyamuthur"
4H,"poomarket,housing unit,thudiyalur,kathir naicken palayam"
4K,"poomarket,vadacovai,new bus stand,kavundampalayam,thudiyalur"
4M,"pothanur,ukkadam,poomarket,kavundampalayam,idayarpalayam"
4N,"sundarapuram,ukkadam,poomarket,kavundampalayam,idayarpalayam"
4R,"thudiyalur,kavundampalayam,new bus stand,poomarket,ukkadam,pothanur"
4S,"thudiyalur,kavundampalayam,new bus stand,poomarket,ukkadam,pothanur"
5,"gandhipuram,marakadai,townhall,ramanathapuram,gandhipuram"
5C,"gandhipuram,lakshmi mills,ramanathapuram,marakadai,gandhipuram"
6A,"tvs,new bus stand,thudiyalur,nsn palayam"
7,"townhall,puliakulam,kg,gandhipuram,vadacovai,r.s.puram"
7A,"townhall,railway station,kg,gandhipuram,vadacovai,r.s.puram"
7C,"r.s.puram,vadacovai,gandhipuram,kg,puliakulam,townhall"
7D,"rto office,lakshmi mills,puliakulam,sungam,gh,townhall"
7J,"vadacovai,r.s.puram,gandhipark,chokkampudhur,selvapuram"
8,"ramanathapuram,gh,ukkadam,pothanur"
8A,"ondipudur,singanallur,ramanathapuram,ukkadam"
9,"hopes,lakshmi mills,railway station,selvapuram,perur"
9A,"railway station,townhall,selvapuram,perur,sundaka muthur"
10A,"mathapur,thennampalayam,nilambur,sitra,peelamedu,lakshmi mills"
10B,"gandhipuram,lakshmi mills,hopes,nehru nagar,ngp college"
10C,"sitra,hopes,lakshmi mills,gandhipuram,saibaba colony"
10D,"gandhipuram,lakshmi mills,hopes,sitra"
10E,"idayarpalayam,saibaba colony,gandhipuram,railway station,townhall"
11,"townhall,saibaba colony,velandipalayam,idayarpalayam"
11A,"railway station,gandhipuram,saibaba colony,velandipalayam,idayarpalayam,kanuvai"
11B,"townhall,saibaba colony,velandipalayam,idayarpalayam"
11C,"vadacovai,saibaba colony,velandipalayam,idayarpalayam,kanuvai,pannimadai,thaliyur"
11D,"vadacovai,saibaba colony,velandipalayam,idayarpalayam,kanuvai"
11E,"vadacovai,saibaba colony,velandipalayam,idayarpalayam,kanuvai"
11H,"gandhipuram,ganapathy,sanganur,kanuvai,idayarpalayam,poomarket"
11J,"vadacovai,saibaba colony,velandipalayam,idayarpalayam,annanagar"
11K,"vadacovai,saibaba colony,velandipalayam,idayarpalayam,kanuvai"
12,"railway station,ukkadam,sundarapuram,eachanari,malumichampatti"
12A,"railway station,ukkadam,sundarapuram,eachanari,malumichampatti"
12E,"ukkadam,sundarapuram,eachanari,othakal mandapam,kumittipathy"
12F,"ukkadam,sundarapuram,eachanari,othakal mandapam"
12H,"ganapathy,gandhipuram,railway station,ukkadam,sundharapuram"
13A,"ramanathapuram,lakshmi mills,peelamedu,sitra,kmch,chinniyampalayam"
13B,"poomarket,townhall,ramanathapuram,singanallur,esi,hopes,lakshmi mills"
14,"railway station,selvapuram,perur,mathampatti,aalandurai"
14A,"railway station,selvapuram,perur,mathampatti,aalandurai"
14B,"townhall,selvapuram,perur,mathampatti,aalandurai"
14C,"railway station,townhall,selvapuram,perur,mathampatti"
14D,"selvapuram,perur,mathampatti,aalandurai,semmedu"
14E,"townhall,selvapuram,perur,mathampatti,aalandurai"
14F,"townhall,selvapuram,perur,mathampatti,aalandurai"
14G,"selvapuram,perur,mathampatti,poluvampatti,kottaikadu,semmedu"
14H,"townhall,selvapuram,perur,mathampatti,aalandurai"
